Review,NPS
"In general good service, but we don't have much options for flights in Mexico. Staff service was friendly, entertainment service was fine but we don't have wifi onboard Aeromexico flights. The worst was the food and beverage service.",Passive
Delta will always be my first choice across the Atlantic and I have found them to be always even better than either BA or Virgin (who have themselves always provided excellent service). My latest flights were no exception. This is the second time I've flown from Heathrow to LAX in four months and both times the service has been great. Without doubt the friendliest cabin crew I have met the in-flight entertainment was good the food was okay and plentiful and the drinks and snacks kept coming. My first choice every time and whilst not the cheapest carrier it's certainly been the most reliable and pleasant to fly with.,Promoter
"I can confirm what has been reported earlier about British Airways long haul flights. Our plane was really old and most staff were almost the same. The TV screen was almost impossible to watch because of the distorted picture and the seats felt like on an IKEA couch from the 1970's. The usual food choice of ""pasta or chicken"" was reduced to chicken only. On top of that we were 24hrs delayed due to bad servicing of one of the engines which needed a spare part - only available in the UK. Disaster at the check-in counter when 400 travellers were asking for accomodation - British Airways had no strategy to handle such a situation which caused hours of unnecessary waiting in the queue. Hotel vouchers given for hotels that do not exist! We had to find a room for 4 (two small kids) on our own at almost midnight. This was definitely the last flight with British Airways.",Detractor
As a long time Continental customer and I really am trying to like United but they sure make it difficult. This is supposed to be an American company but they outsource customer service to India and Philippines with poor service to us customers. My flight from Narita to Newark Liberty was on a 777 that needs repairs and a good cleaning. My seat controls weren't working properly and the lavatories were dirty. Absolutely no amenities in the lavatories. I asked the flight staff for some soap and she gave me her own bacteria spray! For the cost of a business class ticket on this international flight you would think that United would provide what is standard on other airlines. The food was mediocre and no longer worthy of a business first pricing. All my other flights to Asia and around Asia were with Asiana and Bangkok Air. Amazing trips and outstanding service staff and amenities. Of the Star Alliance group United seems to be the only airline in the group charging outrageous prices and giving the customers barely basic services. I know all our USA airlines are the same lousy service but it sure does embarrass us with the rest of the world and I envy their far superior airlines. I took several 45 minute flights on Bangkok Air and would you believe they provided box breakfast/lunch with soft drink on each flight at no extra charge. And served and cleaned up over 100 passengers within the 45 minutes. It takes that long to get one drink sometimes with United.,Passive
"  I flew Air India from Newark to Mumbai and back this April. The flight from Newark left on time and landed in Mumbai before time (4.00 pm Indian time). The flight was nearly half empty and was smooth. However, the aircraft interior was very dull and not properly maintained. All three in-flight entertainment systems (including the two next to my seats) and their controls were not working. Seats were torn, and reading lights were also not working. Imagine how a person can survive such an ultra-long haul flight without any entertainment or reading! Many places, they put duct tape to cover the cracks below the entertainment system and tray. Just within three hours into the flight, the toilets were very smelly. The food was ok. However, the cabin crews were not professional and pleasant. They were taking so much rest in between for many hours without providing any service or refreshments. Same as the case with my return flight (AI 191), which was delayed by one hour to take off due to some technical issues.",Passive
We just completed round trip Toronto to Phoenix on AC Rouge - terrible! Seats are very small service is minimal boarding very slow because too much overhead baggage is allowed for first passengers on board. We stood in the jetway for more than 20 minutes waiting for staff to sort out baggage - unnecessary! Just enforce your own rules. A very poor alternative to reg. AC service. - bring it back please!,Detractor
" I'm a frequent traveller between Amsterdam and Bangkok, and use normally Qatar Airways. Due circumstances I had to fly now with Etihad. (25-04-2019, EY 401). My trip from Bangkok to Abu Dhabi was a real disaster. Concerning the airplane it was really bad, the seat are so hard and very small, maybe designed for gnomes. The audio/video system was very bad and outdated, moreover the choice of music was very poor (lots of arabic and unknown artists). The service experienced the on board was very bad, the crew were grumpy and not friendly. When I asked for a drink they didn't want to give me one, I had to wait for the food service. Arrived at Abu Dhabi airport and transport was by busses and then to queue for safety check, a big mess, so crowded and not organised. The airport itself was also a big mess, the area around the gate was too small. So for me it was once Etihad but never again. I will advise them to take note from Qatar or Emirates.",Detractor
KL to Kota Kinabalu. I was hoping for a more Malaysian style welcome however I was not even shown to my seats. The cabin crew were fixing their hair and make up and chatting. I was not offended but in my 18 years of flying I have never seen such sight.,Detractor
" Philadelphia to Orlando. Ground crew 15 minutes late to remove plane from gate. Than it took another 35/40 minutes to cross taxi ways to track take off runway. Would not recommend this airline, or Philadelphia to fly out of.",Detractor
After reading all the negative reviews about Gulf Air thought oh no here we go but I was pleasantly surprised. A330 from BKK to LHR (via Bahrain) all flights on time slightly larger seats as they are still flying the older A330 (which they are upgrading in August this year). Staff friendly and helpful plane was clean food was ok but not on a par with Emirates or Qatar. Entertainment system is old but all working all in all a good flight and at Â£200 cheaper than any of its competitors you get what you pay for will fly them again based on price and service.,Promoter
