Review,NPS
" Denver to Orlando. I made a mistake when preparing for my flight. I did not check if hiking poles were allowed on aircraft. They did not fit in either of my two free checked bags. Therefore. I attached them to my personal backpack to carry on the plane. I was stopped at the TSA security checkpoint and was told I was not allowed to bring them. They were expensive and I didn't want to forfeit them to TSA. My two previous checked bags had already been taken away for loading. I had pay $75 to check my personal backpack (being my 3rd checked bag). After purchasing the extra bag, I approached the check in counter. The Southwest employee told me that because the poles were not sealed in the bag (they stuck out of the top) there was a good possibility they would be lost and Southwest airlines would not be responsible for replacing them. I had not choice, but the take a chance. I secured them as best I could. The employee did not give me a luggage ticket, ensuring the airline would not be liable. After a nail biting 3 hour flight, I waited anxiously at baggage claim. Sure enough all three of my bags came through. The poles had separated from my personal backpack, but someone had secured them to my larger suitcase. I am extremely relieved and very grateful to that employee which ensured my belonging would get back to me. Thank you! As for the flight, the friendly staff provided excellent hospitality, offering snacks, drinks, and coffees. The seats allowed plenty of leg room. Our flight arrived 40 mins early!",Promoter
On January 8 2015 I had the displeasure of being a passenger on Air Canada Rouge flight 1828 from Maui to Vancouver and prior to that Air Canada Rouge flight 1827 from Vancouver to Maui. I begin by comparing the regular Air Canada Boeing 767 to the Rouge Boeing 767. You will note from the seating chart that the regular Air Canada Boeing 767 has 39 rows with eight passengers per row. The Rouge aircraft has 49 rows. The additional ten rows undoubtedly speaks volumes to the uncomfortable seating mentioned by many. Like many of the previous commentators I have been a member of the Air Canada Altitude 50K group for years. In good faith I booked with Air Canada to discover my flight to be with Rouge. The Rouge seats are extremely uncomfortable and offer an average sized passenger little if any leg room. Your knees are crushed when the passenger in front moves their seat back. Comparatively the seats are similar to sitting on a wooden church pew for the duration of the flight. I will never again fly Rouge. From Edmonton there are a number of other options available.,Detractor
"  Noumea to Napier via Auckland. Paid an extra $350.00 for movies on the plane and one food option - says drinks provided but only get two, probably a total value of $35.00. Landed in Auckland and Napier flight cancelled due to an engineering problem and have to wait 13 hours for another flight. 2 flights were cancelled at the same time due to weather issues, why would you not use one of these planes to fly to Napier instead? All in all a disappointing experience with the staff acting blunt and rude to the customers I saw in line and myself rather then sorry and genuine.",Detractor
"  San Francisco to Phuket via Guangzhou on 22nd June. The worst airline and customer service I have ever had the misfortune to deal with. On the day of my flight out of SFO, I could not check-in online or see the flight status. My flight to Guangzhou was delayed 4 hours and the airline did not bother to send any flight updates the morning of, even though they knew by 9am that my 2pm flight was going to be delayed. The check-in counter staff were unorganized. My boyfriend asked if we could be upgraded for free to premium economy and they wanted to charge an extra $400 for more leg room. Our 4 hour layover caused us to miss our connecting flight to Phuket in Guangzhou. We were promised by the SFO staff that we would receive a hotel voucher so we could get some rest before our 10pm flight out of China. We arrived in Guangzhou at 2am. No one at Guangzhou airport spoke English and there were only a handful of China Southern employees working that late. After running around the airport for over an hour trying to find customer service to receive our hotel voucher, we were ushered onto a bus at 3am and driven to an undisclosed location to the dirtiest hotel I've ever seen. The bus staff refused to tell us where they were taking us, even though it was a 45 minute drive from the airport. We, along with 5 other Americans in the same situation, demanded the bus driver return us to the airport after he refused to let us know when the next shuttle would return. After returning to the airport, I asked staff if it was possible for me to change my flight so I could fly into another city in Thailand and catch a different flight (on a different airline) to Phuket. Customer service told me no and said I was not allowed to make any changes to my flight. When I asked if I could just not board the plane and cancel my trip with them, I was also told no. After being stranded in Guangzhou for the day, the flight to Phuket was fine. They lost our baggage, but fortunately, the staff at Phuket airport were phenomenal and found our bag the next day. Our return flight from Phuket to Guangzhou to SFO was on time, however, they did lose my bag again. The worst airline I have ever had the misfortune of interacting with.",Detractor
"I checked our family of 6 in online before we departed YVR. For some reason, I was not able to complete this for my sister. Once we arrived at YVR, the agent could not explain why there was a problem. Departure was on time. Leg room was non-existent, and I'm only 5'2"" tall! Seats cushion reminded me of those foamies we used to sit on in 1978 for a football game. Seat only reclined 1.5"" for an red-eye flight. Only purchased a chocolate bar for $3.50 so no idea of food quality. Only 2 drink services on a 6 hour flight seemed a little poor (and hot drinks were not available one way). IFE was non-accessible because we weren't told about the app until 3 minutes before we had to turn off our phones - no time to download. On the way home I has this handled only to discover the movies were tremendously old! Attendant who spoke in eng/fr over the PA system spoke so poorly, it reminded me of a Charlie Brown episode. I'm all for low-brow discount air travel, but I expected better of AC. I might as well have flown with Allegiant. In that case, I know what I'll find (and do to Vegas regularly). So poor value for $. For the same amount, I could fly with Hawaiian out of Seatac and receive full service and leg room.",Detractor
LHR-BKK return. Although EVA AIR Premium do give you lots more legroom the rest of the flights were poor. This airline does not appear to want to give you any alcoholic drinks. All they do is offer you water and juice. The cabin crew are ok but nothing special. The food was awful and worse still plastic cutlery kid size. On flight BKK-LHR (a day flight) the afternoon meal was a breakfast. Flight crew welcomed us onboard when on the final approach on both flights. You do get a better seat but that is all.,Detractor
"  Denver to Philadelphia. A 6 hour delay was the absolute worst experience of my entire life I have never been so uncomfortable, and tired in my whole life. Every step of the process was delayed. We left late. Had to stop at a different airport for gas. And now we're sitting here waiting for a ground crew.",Detractor
" Lisbon to Brussels. I read a few days before my scheduled flight that a strike was announced at Brussels Airlines. I immediately called the call center and they suggested a flight to me at 12:25 am. When I asked which company, the employee answered me 'SN Brussels Airlines'. They are on strike that day? Yes, indeed, but it is 4 days later. Completely worthless and apparently the employee could not find a better option. A little later I received an email that my flight was indeed going to be canceled. In the meantime I had booked a flight with Ryanair myself: they still had tickets available on the day of the flight, but the Brussels Airlines employee could not or could not book them. A few days later I received an e-mail from the booking of Brussels Airlines to a Lufthansa flight 24 hours after my planned date: I could not do anything with that either. Once we were home, we filed a claim by registered mail: except for an acknowledgment of receipt, I was not allowed to hear from them, despite several reminders. The service they offer is now a copy of Ryanair: rudimentary and once it goes wrong you are alone: a worthless service center and non-existent after service. Take your business elsewhere, that's what I will do in the future.",Detractor
"  Budapest to Florence via Zurich with Swiss / Helvetic. Short haul flights with good seats, food etc. Standout was the personal service. My 86 year old mother had a Swiss provided personal assistant all the way from arrival to departure at Zurich, which involved bus transfers, steps, escalators, carry on luggage, checking her right to her seat(s). Also provided assistance on arrival at Florence. It was the day the main road collapsed in Florence so everything was in chaos, but Swiss just got on and did what was needed.",Promoter
Flew TPE-CGK on Garuda was supposed to fly on July 13th instead was moved to July 14th due to typhoon. The food was good the inflight entertainment was good though there's still room from improvement. The food was good had some grilled fish for breakfast. Seat was better than SQ's. I'm stunned with the improvement and will definitely fly with Garuda again but on Executive Class maybe.,Promoter
" Iberia is the worse airline if it comes to customer service. They claim to be the most punctual airline in the world, but if they are late and you miss your connecting flight because this one departs on time you are in trouble. No service at all. They even close the gate 5 minutes before you arrive and they know you are on the grounds and trying to get the connection, but because they are so punctual, no chance. If you in business you most likely experience next thing is a downgrade into Economy with no word of sorry or no attempt to try and work alternatives out. Compensation, forget it. Service in Economy with a paid Business ticket means on Iberia you have to pay eventually for drinks and food. Economy is Economy and nothing better than Ryanair. On top of all of this, and you paid for Business in the first place, they cut your Milage down to Economy too. Can it get worse? Wonder if they would deny you the Lounge access too, as you are now officially downgraded to Economy. Never again, or I pay Low Cost in the first place. Saves me anger and my budget at the end.",Detractor
" EVA Air is the cheapest premium economy for this journey from London to Bangkok and it seems that myself and a lot of other people booked it thinking that we were getting a bargain on a top 5 airline. What a surprise we had. The seats are good, the boarding was organized, and those were the best points. The food was amazingly rubbish. The main meal was three small pieces of chicken thigh, with a small potion of rice and veg, the breakfast was an omelette with half a sausage! Would it have been a big deal to give us a full sausage each! I have had much better meals on both Thai and Singapore economy, flying the same route. So for the extra Â£400 on top of the economy fare, I got a small bag with eye mask, toothbrush and paste etc, a slightly wider seat, a crowded cabin and boring meals. And the economy section was less crowded. If economy is less crowded on my return trip, I'll ask to be downgraded from premium to standard economy. I fail to understand why this airline is rated so highly, I found Thai and Singapore to be of much better quality.",Detractor
LHR to YUL on Boeing 777. Following a somewhat chaotic boarding process driven by the awkward queuing arrangement at the new Terminal #2 boarded the plane only to sit on board for nearly 50 minutes awaiting ATC clearance for takeoff. Once in the air the service was prompt with very attentive FA's. Meal and drink selections were good but the main course I chose lacked flavour. Good inflight AVOD with decent selection of movies and entertainment. Pre-arrival snack was mediocre at best. Despite a late departure the crew was able to make up most of the lost time achieving an almost on schedule arrival. Overall it was a pleasant experience but I must say the new staggered seat configuration in business class is a significant downgrade from the pods. Seat controls are in the arm rest resulting in frequent accidental activation. In lie-flat position one's feet have to fit into a very small space which is very uncomfortable. Swiss utilizes the same seats but provides more leg/foot room. The table is difficult to operate and even the FA's struggle with it. I have been a top-tier loyal customer of AC but if they choose to convert all of their long-haul business class to this seating configuration I will look for alternatives in a hurry.,Passive
Buenos Aires - Eze to Madrid. Bad experience on my last flight with Iberia. Very old A340 300 aircraft. No PTV. Seats uncomfortable. Blanket and pillow dirty without the usual plastic wrap. Food awful. Flight attendants blunt and not smiling ever (typical Iberia) they drop things to the floor all the time making such a noise!,Detractor
"  First time flying with British Airways in economy on a Transatlantic flight from London to Chicago. I was impressed by the hard work of the professional and friendly Flight Attendants. They walked up and down the plane helping people with various issues and offering good tasty meals, snacks and drinks of all kinds. I will definitely fly British overseas again given a chance. The economy seats on this old but well kept Boeing 747-400 were very comfortable and I am a 5'9"" x 240lbs and still did not feel cramped. I would encourage all my friends to fly British if they want to have a very comfortable flight from the US to Europe. Thank You British Airways, very good service indeed.",Promoter
Orlando-Quito-Orlando via Panama on an award ticket using my OnePass miles. I make frequent trips to South America and after flying US carriers many times I was shocked by how different the experience was. All flights left on time aircraft were quite new and well-maintained onboard service was warm and professional (they actually thank you with a smile when picking up garbage and service items and treat you as if they value your business) they permit non-elite customers to book exit row seats the food was edible liquor was available free of charge and the transfer in Panama was absolutely painless and stress-free. Given the efficiency of the ground crew in Panama and the airline in general short connection times in Panama should not be a problem. I also had an issue with my reservation that needed to be worked out prior to my departure and instead of being placed on hold for an unreasonable amount of time or waiting in line for an hour at the airport check-in counter only to be greeted by someone who treats you like the enemy a Copa representative assisted me through their 24-hour live chat service after only having to wait 30 seconds and spared me a lot of time and headache.,Promoter
