,sentence,class
0,"NLP is a multidisciplinary field that draws from linguistics and computer science, particularly artificial intelligence ,.",0
1,"In terms of linguistics, a program must be able to deal with words that have multiple meanings (“wind up the clock” and “the wind is cold today”) as well as grammatical ambiguities (in the phrase “little girl’s school” is it the school that is little, the girls, or both?).",0
2,Of course each language has its own forms of ambiguity.,0
3,"Programs can use several strategies for dealing with these problems, including using statistical models to predict the likely meaning of a given phrase based on a “corpus” of existing text in that language ,.",0
4,"As formidable as the task of extracting the correct (literal) meaning from text can be, it is really only the first level of natural language processing.",0
5,"If a program is to successfully summarize or draw conclusions about a news report from North Korea, for example, it would also have to have a knowledge base of facts about that country and/or a set of “frames” , about how to interpret various situations such as threat, bluff, or compromise. )",0
6,"There are a variety of emerging applications for NLP, including the following:, voice-controlled computer interfaces (such as in aircraft cockpits), programs that can assist with planning or other tasks ,, more-realistic interactions with computer-controlled game characters, robots that interact with humans in various settings such as hospitals, automatic analysis or summarization of news stories and other text, intelligence and surveillance applications (analysis of communication, etc.",0
7,"), data mining, creating consumer profiles, and other ecommerce applications, search-engine improvements, such as in determining relevancy",0
8,"As each new means of communication and social interaction is introduced, social customs and etiquette evolve in response.",0
9,"For example, it took time before the practice of saying “hello” and identifying oneself became the universal way to initiate a phone conversation.",0
10,"By the 1980s, a system of topical news postings , carried on the Internet was becoming widely used in universities, the computer industry, and scientific institutions.",0
11,"Many new users did not understand the system, and posted messages that were off topic.",0
12,"Others used their postings as to insult or attack (“flame”) other users, particularly in newsgroups discussing perennially controversial topics such as abortion.",0
13,"When a significant number of postings in a newsgroup are devoted to flaming and counter-flaming, many users who had sought civilized, intelligent discussion leave in protest.",0
14,"In 1984, Chuq von Rospach wrote a document entitled “A Primer on How to Work with the Usenet Community.",0
15,” It and later guides to net etiquette or “netiquette” offered useful guidelines to new users and to more experienced users who wanted to facilitate civil discourse.,0
16,"These suggestions include:, Learn about the purpose of a newsgroup before you post to it.",0
17,"If a group is moderated, understand the moderator’s guidelines so your postings won’t be rejected.",0
18,", Before posting, follow some discussions to see what sort of language, tone, and attitude seems to be appropriate for this group Do not post bulky graphics or other attachments unless the group is designed for them.",0
19,", Avoid “ad hominem” (to the person) attacks when discussing disagreements.",0
20,", Do not post in ALL CAPS, which is interpreted as “shouting.",0
21,"”, Check your postings for proper spelling and grammar.",0
22,"On the other hand, avoid “flaming” other users for their spelling or grammar errors.",0
23,", When replying to an existing message, include enough of the original message to provide context for your reply, but no more.",0
24,", If you know the answer to a question or problem raised by another user, send it to that user by e-mail.",0
25,That way the newsgroup doesn’t get cluttered up with dozens of versions of the same information.,0
26,In recent years there has been growing concern that Internet users may eventually be treated differently by service providers depending on the kind of data they download or the kind of application programs they use online.,0
27,"Advocates of network (or net) neutrality , want legislation that would bar cable, DSL, or other providers , from making such distinctions, such as by charging content providers higher fees for high volumes of data or even blocking certain applications.",0
